experiment,tx_emb,lr,epochs,seq_len,step_size,auroc,auprc,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
seq-label_tx-emb256_lr0.0001_epochs20_len15_step10,256,0.0001,20,15,10,0.9360696501746615,0.16216906741020218,0.28931875525651807,0.99768126,0.4712328767123288,0.2087378640776699
seq-label_tx-emb64_lr0.0001_epochs20_len15_step10,64,0.0001,20,15,10,0.9376444940094705,0.15801057455146486,0.2951612903225806,0.9960296,0.43990384615384615,0.2220873786407767
seq-label_tx-emb128_lr0.0001_epochs20_len15_step10,128,0.0001,20,15,10,0.9349004444217036,0.14642535418813635,0.27169149868536374,0.9975007,0.4889589905362776,0.18810679611650485
seq-label_tx-emb256_lr0.0001_epochs20_len10_step2,256,0.0001,20,10,2,0.9424019205726402,0.13624979815280658,0.25885286783042394,0.997968,0.36041666666666666,0.2019455252918288
seq-label_tx-emb128_lr0.0001_epochs20_len10_step2,128,0.0001,20,10,2,0.9391182086808307,0.136246201407362,0.2555910543130991,0.9973845,0.3468979319546364,0.20233463035019456
seq-label_tx-emb64_lr0.0001_epochs20_len10_step2,64,0.0001,20,10,2,0.9361005749635752,0.13338149145154088,0.25872093023255816,0.9957504,0.3427471116816431,0.2077821011673152
seq-label_tx-emb128_lr0.0001_epochs20_len15_step2,128,0.0001,20,15,2,0.937514825300779,0.13226736739938727,0.2518140811923907,0.9959468,0.3879154078549849,0.18641114982578397
seq-label_tx-emb256_lr0.0001_epochs20_len15_step2,256,0.0001,20,15,2,0.9438568487928757,0.13058216061616335,0.24498456790123457,0.9974005,0.3649425287356322,0.18437862950058073
seq-label_tx-emb128_lr0.0001_epochs20_len15_step5,128,0.0001,20,15,5,0.9310007749735598,0.12939596083067337,0.24479166666666666,0.996678,0.3222857142857143,0.1973407977606718
seq-label_tx-emb256_lr0.0001_epochs20_len15_step5,256,0.0001,20,15,5,0.9297601270115807,0.12889590871247192,0.2438287153652393,0.99696606,0.4352517985611511,0.16934919524142758
seq-label_tx-emb64_lr0.0001_epochs20_len15_step2,64,0.0001,20,15,2,0.9345831904333356,0.12776028545458765,0.2395512936493577,0.9961792,0.31781084973595775,0.19221835075493612
seq-label_tx-emb64_lr0.0001_epochs20_len15_step5,64,0.0001,20,15,5,0.9290691155105999,0.12609746751098896,0.2517694641051567,0.99602747,0.453551912568306,0.17424772568229532
seq-label_tx-emb128_lr0.0001_epochs20_len10_step5,128,0.0001,20,10,5,0.9323620191413745,0.11372354372673904,0.2376237623762376,0.9970989,0.3264,0.18681318681318682
seq-label_tx-emb256_lr0.0001_epochs20_len10_step10,256,0.0001,20,10,10,0.9296603692451156,0.11355922715897805,0.2067247820672478,0.99766016,0.33739837398373984,0.1490125673249551
seq-label_tx-emb256_lr0.0001_epochs20_len10_step5,256,0.0001,20,10,5,0.9374912747235122,0.11197634093529028,0.23687150837988824,0.99710196,0.3037249283667622,0.19413919413919414
seq-label_tx-emb64_lr0.0001_epochs20_len10_step5,64,0.0001,20,10,5,0.9300694927183973,0.10965569487548738,0.23128549303045948,0.99477994,0.2650887573964497,0.20512820512820512
seq-label_tx-emb128_lr0.0001_epochs20_len10_step10,128,0.0001,20,10,10,0.9285728861839952,0.10344984460871315,0.2126642771804062,0.99761593,0.31785714285714284,0.15978456014362658
seq-label_tx-emb256_lr0.0001_epochs20_len5_step2,256,0.0001,20,5,2,0.9225081725830385,0.09028017692200399,0.20351951032899773,0.9969633,0.2309027777777778,0.18194254445964433
seq-label_tx-emb64_lr0.0001_epochs20_len10_step10,64,0.0001,20,10,10,0.9255153879380242,0.08310379329399722,0.2,0.9957163,0.2779552715654952,0.1561938958707361
seq-label_tx-emb64_lr0.0001_epochs20_len5_step2,64,0.0001,20,5,2,0.9252842856205913,0.07589384366115386,0.18682065217391308,0.9929363,0.18556005398110662,0.1880984952120383
seq-label_tx-emb128_lr0.0001_epochs20_len5_step10,128,0.0001,20,5,10,0.9172822432648736,0.07171461855000985,0.1582278481012658,0.99606955,0.1976284584980237,0.13192612137203166
seq-label_tx-emb256_lr0.0001_epochs20_len5_step5,256,0.0001,20,5,5,0.9155714505739158,0.0672223298707038,0.14137214137214138,0.9979087,0.19710144927536233,0.11021069692058347
seq-label_tx-emb128_lr0.0001_epochs20_len5_step2,128,0.0001,20,5,2,0.9264605922853906,0.06386608144266594,0.17547169811320756,0.9963122,0.16239813736903377,0.1908344733242134
seq-label_tx-emb64_lr0.0001_epochs20_len5_step10,64,0.0001,20,5,10,0.9200969874148017,0.057959862235137216,0.13250517598343686,0.99808335,0.3076923076923077,0.08443271767810026
seq-label_tx-emb64_lr0.0001_epochs20_len5_step5,64,0.0001,20,5,5,0.9204947403194605,0.04764459784740905,0.12815533980582525,0.99675214,0.15980629539951574,0.10696920583468396
seq-label_tx-emb256_lr0.0001_epochs20_len5_step10,256,0.0001,20,5,10,0.916557170108927,0.043640204142699465,0.11490125673249552,0.99757296,0.1797752808988764,0.08443271767810026
seq-label_tx-emb128_lr0.0001_epochs20_len5_step5,128,0.0001,20,5,5,0.9182393231458446,0.0357777186676956,0.12656558998022413,0.99736494,0.10666666666666667,0.15559157212317667
