experiment,k,layers,acc_emb,trn_emb,lr,epoch,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
k100_L5_emb64x64_lr0.0001,100,5,64,64,0.0001,2,0.06701940035273368,0.974974974974975,0.18181818181818182,0.04108108108108108
k100_L5_emb64x128_lr0.0001,100,5,64,128,0.0001,2,0.0669710806697108,0.964964964964965,0.11311053984575835,0.04756756756756757
k100_L3_emb64x256_lr0.0001,100,3,64,256,0.0001,2,0.06430868167202572,0.975975975975976,0.12539184952978055,0.043243243243243246
k100_L3_emb64x64_lr0.0001,100,3,64,64,0.0001,2,0.061946902654867256,0.986986986986987,0.17073170731707318,0.03783783783783784
k50_L2_emb64x64_lr0.0001,50,2,64,64,0.0001,2,0.06140350877192982,0.990990990990991,0.16279069767441862,0.03783783783783784
k50_L3_emb128x128_lr0.0001,50,3,128,128,0.0001,2,0.061224489795918366,0.983983983983984,0.14342629482071714,0.03891891891891892
k20_L2_emb64x128_lr0.0001,20,2,64,128,0.0001,2,0.060240963855421686,0.984984984984985,0.09925558312655088,0.043243243243243246
k50_L5_emb128x256_lr0.0001,50,5,128,256,0.0001,2,0.05946337926033358,0.973973973973974,0.09030837004405286,0.04432432432432432
k100_L2_emb64x128_lr0.0001,100,2,64,128,0.0001,2,0.059006211180124224,0.984984984984985,0.1046831955922865,0.04108108108108108
k100_L3_emb64x128_lr0.0001,100,3,64,128,0.0001,3,0.05714285714285714,0.993993993993994,0.06357615894039735,0.05189189189189189
k100_L3_emb128x128_lr0.0001,100,3,128,128,0.0001,3,0.05688622754491018,0.995995995995996,0.09245742092457421,0.04108108108108108
k50_L3_emb128x64_lr0.0001,50,3,128,64,0.0001,2,0.05650684931506849,0.991991991991992,0.13580246913580246,0.03567567567567568
k20_L5_emb64x128_lr0.0001,20,5,64,128,0.0001,2,0.05538074260541221,0.963963963963964,0.06626506024096386,0.04756756756756757
k50_L3_emb64x64_lr0.0001,50,3,64,64,0.0001,2,0.055353241077931534,0.990990990990991,0.08482142857142858,0.04108108108108108
k20_L3_emb64x256_lr0.0001,20,3,64,256,0.0001,2,0.055315471045808126,0.984984984984985,0.13793103448275862,0.034594594594594595
k100_L3_emb128x64_lr0.0001,100,3,128,64,0.0001,2,0.0549738219895288,0.9719719719719719,0.06965174129353234,0.04540540540540541
k20_L2_emb64x256_lr0.0001,20,2,64,256,0.0001,2,0.054844606946983544,0.97997997997998,0.06284916201117319,0.04864864864864865
k50_L3_emb128x256_lr0.0001,50,3,128,256,0.0001,3,0.054729327781082686,0.994994994994995,0.06084656084656084,0.04972972972972973
k100_L5_emb128x256_lr0.0001,100,5,128,256,0.0001,3,0.054455445544554455,0.990990990990991,0.06367583212735166,0.04756756756756757
