experiment,k,layers,acc_emb,trn_emb,lr,epoch,auprc,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
k100_L5_emb64x64_lr0.0001,100.0,5.0,64.0,64.0,0.0001,2,0.0234659984762479,0.06696035242290749,0.9748743718592965,0.18095238095238095,0.04108108108108108
k20_L5_emb64x128_lr0.0001,20.0,5.0,64.0,128.0,0.0001,2,0.022922255315188714,0.052770448548812667,0.964824120603015,0.0676818950930626,0.043243243243243246
k100_L5_emb64x128_lr0.0001,100.0,5.0,64.0,128.0,0.0001,2,0.022458288580566033,0.06692015209125475,0.964824120603015,0.11282051282051282,0.04756756756756757
k50_L5_emb128x256_lr0.0001,50.0,5.0,128.0,256.0,0.0001,2,0.021533899407054156,0.058734939759036146,0.9748743718592965,0.0967741935483871,0.04216216216216216
k20_L2_emb64x256_lr0.0001,20.0,2.0,64.0,256.0,0.0001,2,0.021516406713412952,0.05447941888619855,0.9798994974874372,0.061898211829436035,0.04864864864864865
k50_L3_emb128x128_lr0.0001,50.0,3.0,128.0,128.0,0.0001,2,0.021496405250521534,0.05970149253731343,0.9849246231155779,0.1588785046728972,0.036756756756756756
k50_L5_emb64x256_lr0.0001,50.0,5.0,64.0,256.0,0.0001,3,0.021164871691440906,0.04536082474226804,0.9899497487437187,0.062264150943396226,0.03567567567567568
k20_L3_emb64x64_lr0.0001,20.0,3.0,64.0,64.0,0.0001,2,0.021130099667844748,0.05263157894736842,0.9849246231155779,0.07321772639691715,0.04108108108108108
k20_L3_emb64x256_lr0.0001,20.0,3.0,64.0,256.0,0.0001,2,0.020852253813418972,0.055267702936096716,0.9849246231155779,0.13733905579399142,0.034594594594594595
k20_L5_emb64x64_lr0.0001,20.0,5.0,64.0,64.0,0.0001,2,0.020512875512779603,0.048507462686567165,0.9849246231155779,0.05710102489019034,0.04216216216216216
k100_L5_emb128x256_lr0.0001,100.0,5.0,128.0,256.0,0.0001,2,0.020236370270172718,0.05122615803814714,0.9447236180904522,0.051648351648351645,0.05081081081081081
k20_L3_emb128x256_lr0.0001,20.0,3.0,128.0,256.0,0.0001,3,0.020005243633442863,0.04330017554125219,0.9949748743718593,0.047193877551020405,0.04
