experiment,k,layers,acc_emb,trn_emb,lr,epoch,auroc,best_f1,best_threshold,precision_at_best_f1,recall_at_best_f1
k50_L5_emb32x256_lr0.0001,50.0,5.0,32.0,256.0,0.0001,1,0.9355810148629247,0.028033935817041684,0.9396984924623115,0.016900155659328443,0.08216216216216216
k20_L5_emb64x256_lr0.0001,20.0,5.0,64.0,256.0,0.0001,2,0.9349002219182952,0.04455445544554455,0.9798994974874372,0.09407665505226481,0.02918918918918919
k50_L5_emb64x256_lr0.0001,50.0,5.0,64.0,256.0,0.0001,2,0.9338831028158312,0.04158004158004158,0.9698492462311558,0.05791505791505792,0.032432432432432434
k20_L5_emb64x128_lr0.0001,20.0,5.0,64.0,128.0,0.0001,2,0.9335077853423621,0.052770448548812667,0.964824120603015,0.0676818950930626,0.043243243243243246
k100_L5_emb32x256_lr0.0001,100.0,5.0,32.0,256.0,0.0001,1,0.9333648408121864,0.017925513400626522,0.9346733668341709,0.009338591957931004,0.2227027027027027
k100_L5_emb128x256_lr0.0001,100.0,5.0,128.0,256.0,0.0001,1,0.9326574737062624,0.014816083586691217,0.9246231155778895,0.007713572320313894,0.18702702702702703
k100_L5_emb64x256_lr0.0001,100.0,5.0,64.0,256.0,0.0001,1,0.932291901509057,0.016018795386586928,0.9396984924623115,0.008887308922858158,0.08108108108108109
k20_L5_emb128x256_lr0.0001,20.0,5.0,128.0,256.0,0.0001,2,0.9322136893369245,0.041392285983066796,0.9798994974874372,0.15942028985507245,0.023783783783783784
k20_L3_emb32x256_lr0.0001,20.0,3.0,32.0,256.0,0.0001,1,0.9322038754739729,0.026226068712300026,0.9396984924623115,0.01731301939058172,0.05405405405405406
k50_L5_emb128x128_lr0.0001,50.0,5.0,128.0,128.0,0.0001,2,0.9320370991982749,0.05044751830756713,0.9748743718592965,0.10197368421052631,0.03351351351351351
k20_L5_emb32x128_lr0.0001,20.0,5.0,32.0,128.0,0.0001,1,0.9320074845499036,0.023646546359676415,0.9346733668341709,0.02785923753665689,0.02054054054054054
k50_L5_emb32x128_lr0.0001,50.0,5.0,32.0,128.0,0.0001,2,0.9318044729881383,0.03844258255298177,0.964824120603015,0.035326086956521736,0.04216216216216216
k20_L5_emb32x256_lr0.0001,20.0,5.0,32.0,256.0,0.0001,6,0.9317826230723352,0.03924133420536298,0.9949748743718593,0.04966887417218543,0.032432432432432434
k50_L3_emb32x256_lr0.0001,50.0,3.0,32.0,256.0,0.0001,1,0.931686741187629,0.025045445364572812,0.9396984924623115,0.015399900645802286,0.06702702702702702
k50_L5_emb128x256_lr0.0001,50.0,5.0,128.0,256.0,0.0001,1,0.9316799277777774,0.01982651796778191,0.9447236180904522,0.016042780748663103,0.025945945945945945
k20_L2_emb32x64_lr0.0001,20.0,2.0,32.0,64.0,0.0001,6,0.9315058354205613,0.027604337824515282,0.9899497487437187,0.019830028328611898,0.04540540540540541
k100_L5_emb128x128_lr0.0001,100.0,5.0,128.0,128.0,0.0001,1,0.9309160039256941,0.018410041841004185,0.9396984924623115,0.015017064846416382,0.023783783783783784
k20_L5_emb32x64_lr0.0001,20.0,5.0,32.0,64.0,0.0001,6,0.9308231917068893,0.031171019376579612,0.9899497487437187,0.025534851621808144,0.04
